;pair_id;year;iso3_o;iso3_d;fwd_log_mig;o_sl_uem_totl_zs;o_sp_pop_0014_to_zs;sfi_sfi;pol4_autoc;o_IT_CEL_SETS_P2;o_IT_NET_USER_P2;o_number_weather;o_number_nonweather;mig_stock_tot;o_French;o_Spanish;o_English;d_GDP;d_pop;o_GDP;o_pop;Set
89;179;2014;0;8;5.236442;9.678758;9.678758;1.0;0.0;146.4823886;64.7;3;1;445.0;0.0;0.99;0.0;268.14398;5.639565;332.56702;42.980026;0
90;180;2004;0;9;10.112938;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;152975.0;0.0;0.99;0.0;1115.7397;42.921894;204.13399;38.728775;1
91;180;2005;0;9;10.093778;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;150252.0;0.0;0.99;0.0;1157.28;43.65316;222.91101;39.14549;1
92;180;2006;0;9;9.974086;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;141159.0;0.0;0.99;0.0;1205.58;44.397316;241.642;39.558746;1
93;180;2007;0;9;9.5003195;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;147382.0;0.0;0.99;0.0;1251.0198;45.226803;260.88998;39.969906;1
94;180;2008;0;9;8.806424;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;142270.0;0.0;0.99;0.0;1264.9802;45.954105;268.912;40.381863;1
95;180;2009;0;9;8.597298;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;132249.0;0.0;0.99;0.0;1219.77;46.36295;269.04706;40.798637;1
96;180;2010;0;9;8.501674;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;120738.0;0.0;0.99;0.0;1219.94;46.5769;294.47595;41.222878;1
97;180;2011;0;9;8.189522;7.2;24.636627;3.0;0.0;149.0906224;51.0;0;1;109258.0;0.0;0.99;0.0;1212.4097;46.742702;319.17194;41.655613;1
98;180;2012;0;9;8.231908;7.2;24.415052;2.0;0.0;156.564756;55.8;3;0;98351.0;0.0;0.99;0.0;1187.08;46.773056;321.73105;42.09522;1
99;180;2013;0;9;8.33663;7.5;24.233953;1.0;0.0;162.5274217;59.9;2;0;85803.0;0.0;0.99;0.0;1172.48;46.62004;331.01404;42.5383;2
100;180;2014;0;9;8.5131855;9.678758;9.678758;1.0;0.0;146.4823886;64.7;3;1;75313.0;0.0;0.99;0.0;1188.7703;46.4046;332.56702;42.980026;0
101;181;2004;0;10;0.0;12.6;26.647324;4.0;0.0;35.27228837;16.03668411;3;0;9.678758;0.0;0.99;0.0;12.791943;1.36255;204.13399;38.728775;1
102;181;2005;0;10;0.6931472;10.6;26.3217;2.0;0.0;57.32899426;17.72058337;1;0;9.678758;0.0;0.99;0.0;14.003483;1.354775;222.91101;39.14549;1
103;181;2006;0;10;1.0986123;10.1;26.007032;2.0;0.0;80.81882641;20.9272021;1;0;9.678758;0.0;0.99;0.0;15.461636;1.34681;241.642;39.558746;1
104;181;2007;0;10;0.0;8.5;25.702198;2.0;0.0;102.7215283;25.94663294;3;0;9.678758;0.0;0.99;0.0;16.683123;1.34068;260.88998;39.969906;1
105;181;2008;0;10;1.0986123;7.8;25.410353;2.0;0.0;117.2211834;28.11262348;1;1;9.678758;0.0;0.99;0.0;15.794303;1.33709;268.912;40.381863;1
106;181;2009;0;10;0.0;8.6;25.134405;2.0;0.0;131.1294492;34.0;4;2;9.678758;0.0;0.99;0.0;13.46661;1.334515;269.04706;40.798637;1
107;181;2010;0;10;0.0;7.7;24.876331;2.0;0.0;141.383022;45.0;1;0;9.678758;0.0;0.99;0.0;13.800026;1.331475;294.47595;41.222878;1
